repo_source_id,t01_source_id,source_name,note
SRC0093,SRC0089,念佛感应录 第四集,possible_duplicate_of:SRC0302
SRC0094,SRC0090,念佛感应录 第五集,possible_duplicate_of:SRC0302
SRC0095,SRC0091,念佛感应录 第六集,possible_duplicate_of:SRC0302
SRC0096,SRC0092,念佛感应录 第七集,possible_duplicate_of:SRC0302
SRC0097,SRC0093,念佛感应录 第八集,possible_duplicate_of:SRC0302
SRC0098,SRC0094,念佛癒病（一）,possible_duplicate_of:SRC0303
SRC0099,SRC0095,动物往生佛国记,
SRC0100,SRC0096,净土宗双月刊,
SRC0101,SRC0097,香港佛教,
SRC0102,SRC0098,内明,
SRC0103,SRC0099,台湾佛教,
SRC0104,SRC0100,觉世,
SRC0105,SRC0101,普门杂志,
SRC0106,SRC0102,人生,
SRC0107,SRC0103,佛教文化季刊,
SRC0108,SRC0104,中国佛教月刊,
SRC0109,SRC0105,今日佛教,
SRC0110,SRC0106,慧炬,
SRC0111,SRC0107,狮子吼（台湾复刊）,
SRC0112,SRC0108,净土,
SRC0113,SRC0109,弘化（现代复刊）,
SRC0002,SRC0110,当代念佛感应集,M2 试点来源（见 M1_SOURCE_SHORTLIST_LOCKED.md，2026-09-16 锁定）；保留现行 repo 编号
SRC0114,SRC0111,慈护,
SRC0115,SRC0112,现代佛学,
SRC0116,SRC0113,法音,
SRC0117,SRC0114,佛教文化,
SRC0118,SRC0115,上海佛教,
SRC0119,SRC0116,江苏佛教,
SRC0120,SRC0117,广东佛教,
SRC0121,SRC0118,法炬,
SRC0122,SRC0119,寒山寺,
SRC0123,SRC0120,狮子吼（槟城本）,
SRC0124,SRC0121,人海灯,
SRC0125,SRC0122,觉音／华南觉音,
SRC0126,SRC0123,无尽灯,
SRC0127,SRC0124,南洋佛教,
SRC0128,SRC0125,狮城潮音,
SRC0129,SRC0126,佛教文摘,
SRC0130,SRC0127,大马佛教研究,
SRC0131,SRC0128,佛联汇讯,
SRC0132,SRC0129,莲觉,
SRC0133,SRC0130,星洲中国佛学,
SRC0134,SRC0131,人间佛教（星洲本）,
SRC0135,SRC0132,佛教人间（星洲本）,
SRC0003,SRC0133,净土宗官方网站（中华净土宗协会／净土宗文教基金会）,M2 试点来源（见 M1_SOURCE_SHORTLIST_LOCKED.md，2026-09-16 锁定）；保留现行 repo 编号
SRC0136,SRC0134,台中佛教莲社官方网站,
SRC0137,SRC0135,庐山东林寺官方网站／东林祖庭网络平台,
SRC0138,SRC0136,苏州弘化社官方网站,
SRC0139,SRC0137,守月亮海外净土网,
SRC0140,SRC0138,雪心文教基金会网站／雪心助念团数据库,
SRC0141,SRC0139,马来西亚净宗学会官方网站,
SRC0142,SRC0140,新加坡佛教居士林官网,
SRC0143,SRC0141,澳洲净宗学院官网,
SRC0144,SRC0142,净空老法师专集网站,
SRC0145,SRC0143,华藏净宗弘化网,
SRC0146,SRC0144,香港佛陀教育协会官网,
SRC0147,SRC0145,佛陀教育基金会官网,
SRC0148,SRC0146,佛弟子文库,
SRC0149,SRC0147,佛教导航,
SRC0150,SRC0148,佛教在线／中华佛教在线,
SRC0151,SRC0149,报佛恩网／般若文海,
SRC0152,SRC0150,净土宗活动资讯网,
SRC0004,SRC0151,净土宗 Pure Land Buddhism Southeast Asia,M2 试点来源（见 M1_SOURCE_SHORTLIST_LOCKED.md，2026-09-16 锁定）；保留现行 repo 编号
SRC0153,SRC0152,庐山龙泉寺「极乐之光」网站,
SRC0154,SRC0153,新加坡净宗学会网站,
SRC0155,SRC0154,檀香寺助念网页 / Than Hsiang Zhu Nian Homepage,
SRC0156,SRC0155,台湾助念团网站（郭文芳助念团 Google Sites）,
SRC0157,SRC0156,弘愿寺历史官方网站,
SRC0158,SRC0157,净土宗官方 YouTube 影音（Plbamt）,
SRC0159,SRC0158,净宗讲堂 YouTube / Pure Land Buddhism,
SRC0160,SRC0159,东林法音 YouTube,
SRC0161,SRC0160,东林法音「念佛感应故事」播放列表,
SRC0162,SRC0161,净宗法师「信函」,
SRC0163,SRC0162,净宗法师「念佛问答」,
SRC0164,SRC0163,净空老法师影音图文检索中心,
SRC0165,SRC0164,《学佛答问》系列,
SRC0166,SRC0165,净土宗「念佛感应故事（真实案例）」视频系列,
SRC0167,SRC0166,净土宗台北念佛会 YouTube,
SRC0168,SRC0167,悟道法师佛法交流专页「莲友留言」,
SRC0169,SRC0168,悟道法师《佛学问答》影音系列,
SRC0170,SRC0169,华藏净宗弘化网 YouTube,
SRC0171,SRC0170,马来西亚净宗学会 YouTube,
SRC0172,SRC0171,定弘法师说法频道,
SRC0173,SRC0172,熏闻成种｜成德法师学习分享平台,
SRC0174,SRC0173,华藏净宗弘化网影音专区／数字影音库,
SRC0175,SRC0174,Podcast《净土宗弘愿法门－光明遍照 唯摄念佛》,
SRC0176,SRC0175,十方圆通寺 道晟法师 YouTube,
SRC0177,SRC0176,十方圆通寺官方网站,
SRC0178,SRC0177,Podcast《笃定往生的净土法门》道晟师父讲座,
SRC0179,SRC0178,Pure Land Buddhism USA 净土宗美国 YouTube,
SRC0180,SRC0179,法界佛陀教育学院 YouTube,
SRC0181,SRC0180,文殊讲堂｜慧律法师官方影音资料库,
SRC0182,SRC0181,文殊讲堂 Vimeo / wenshuykl,
SRC0183,SRC0182,道证法师网络专辑（般若文海／报佛恩网）,
SRC0184,SRC0183,道证法师《毛毛虫变蝴蝶》系列,
SRC0185,SRC0184,智随法师文章｜念佛感应篇,
SRC0186,SRC0185,智随法师文章｜往生记实篇,
SRC0187,SRC0186,净土宗加州念佛会 / Pure Land Buddhist Association 官网,
SRC0188,SRC0187,日本往生極楽記,
SRC0189,SRC0188,続本朝往生伝,
SRC0190,SRC0189,拾遺往生伝,
SRC0191,SRC0190,後拾遺往生伝,
SRC0192,SRC0191,三外往生伝／三外往生記,
SRC0193,SRC0192,本朝新修往生伝,
SRC0194,SRC0193,念仏往生伝,
SRC0195,SRC0194,今選往生伝,
SRC0196,SRC0195,扶桑寄帰往生伝,
SRC0197,SRC0196,女人往生伝,
SRC0198,SRC0197,緇白往生伝,
SRC0199,SRC0198,貞伝上人東域念仏利益伝,
SRC0200,SRC0199,現証往生伝,
SRC0201,SRC0200,新撰往生伝,
SRC0202,SRC0201,近世念仏往生伝,
SRC0203,SRC0202,淡海往生伝／近世淡海念仏往生伝,
SRC0204,SRC0203,明治往生伝,
SRC0205,SRC0204,明教新誌,
SRC0206,SRC0205,親聞妙好人伝,
SRC0207,SRC0206,妙好人伝（二巻本）,
SRC0208,SRC0207,新続妙好人伝,
SRC0209,SRC0208,妙好人伝（五巻本）,
SRC0210,SRC0209,続妙好人伝,
SRC0211,SRC0210,三井往生伝,
SRC0212,SRC0211,近世往生伝,
SRC0213,SRC0212,日本古今往生略伝,
SRC0214,SRC0213,浄土勧化三国往生伝,
SRC0215,SRC0214,新聞顕験往生伝,
SRC0216,SRC0215,総誉安西法師往生記,
SRC0217,SRC0216,遂懐往生伝,
SRC0218,SRC0217,孝感冥祥録,
SRC0219,SRC0218,親聞往生験記,
SRC0220,SRC0219,随聞往生伝,
SRC0221,SRC0220,近世南紀念仏往生伝,
SRC0222,SRC0221,日課念仏投宿編,
SRC0223,SRC0222,新撰念仏往生験記,
SRC0224,SRC0223,新選往生験記追加別伝,
SRC0225,SRC0224,専念往生伝,
SRC0226,SRC0225,入水往生伝,
SRC0227,SRC0226,尾陽往生伝,
SRC0228,SRC0227,拾遺専念往生伝,
SRC0229,SRC0228,三河往生験記,
SRC0230,SRC0229,遺身往生伝,
SRC0231,SRC0230,浄土宗公式サイト,
SRC0232,SRC0231,浄土宗新聞,
SRC0233,SRC0232,季刊『かるな』,
SRC0234,SRC0233,公式チャンネル浄土宗,
SRC0235,SRC0234,浄土宗全書テキストデータベース,
SRC0236,SRC0235,新纂浄土宗大辞典,
SRC0237,SRC0236,浄土宗総合研究所,
SRC0238,SRC0237,知恩院公式サイト,
SRC0239,SRC0238,知恩院公式YouTube,
SRC0240,SRC0239,増上寺公式サイト,
SRC0241,SRC0240,増上寺公式YouTube,
SRC0242,SRC0241,浄土真宗本願寺派公式サイト,
SRC0243,SRC0242,本願寺新報,
SRC0244,SRC0243,本願寺公式Webブロードキャスト／YouTube,
SRC0245,SRC0244,真宗大谷派 東本願寺公式サイト,
SRC0246,SRC0245,同朋新聞,
SRC0247,SRC0246,月刊『真宗』,
SRC0248,SRC0247,真宗大谷派 東本願寺公式YouTube,
SRC0249,SRC0248,しんらん交流館 YouTube,
SRC0250,SRC0249,真宗聖典検索,
SRC0251,SRC0250,真宗会館 YouTube,
SRC0252,SRC0251,正宣寺 寺报《光寿》,
SRC0253,SRC0252,教念寺《教念寺新报》,
SRC0254,SRC0253,教念寺《ふうむ》,
SRC0255,SRC0254,善巧寺「寺报」,
SRC0256,SRC0255,守纲寺报《清风》,
SRC0257,SRC0256,《愿长寺报》,
SRC0258,SRC0257,春日山蓮浄寺だより,
SRC0259,SRC0258,金光寺寺报《慧光》,
SRC0260,SRC0259,教心寺寺报《サーサナ》,
SRC0261,SRC0260,万行寺寺报,
SRC0262,SRC0261,常髙寺寺报《あまね》,
SRC0263,SRC0262,《顺光寺だより》,
SRC0264,SRC0263,极乐寺寺报《安心》,
SRC0265,SRC0264,顺正寺寺报《遊煩悩林》,
SRC0266,SRC0265,道善寺だより,
SRC0267,SRC0266,愿成寺寺报《大心海》,
SRC0268,SRC0267,一心寺寺报《夢と望》,
SRC0269,SRC0268,常念寺寺报《おあしす》,
SRC0270,SRC0269,法光寺寺报《煩悩林》,
SRC0271,SRC0270,真宗大谷派名古屋教区第30组「寺報を読む」,
SRC0272,SRC0271,専教寺寺报,
SRC0273,SRC0272,真宗大谷派浄影寺《法蔵》,
SRC0274,SRC0273,浄心寺・草加松原開教所《もとみち》,
SRC0275,SRC0274,教覚寺寺报,
SRC0276,SRC0275,妙蓮寺寺报《流水》,
SRC0277,SRC0276,静蓮寺・正定寺共同寺报《和顔愛語》,
SRC0278,SRC0277,浄土宗摂取山念佛寺寺报《摂取》,
SRC0279,SRC0278,光源寺《光源寺新報》,
SRC0280,SRC0279,天真寺《月刊天真》,
SRC0281,SRC0280,浄土宗大雲寺《寿光》,
SRC0282,SRC0281,石狩・髙陵山光明寺《光明寺寺報》,
SRC0283,SRC0282,法雲寺《ともしび → ともしび2》,
SRC0284,SRC0283,浄覚寺寺报《じゅこう》,
SRC0285,SRC0284,本愿寺派那珂组门徒推进员广报《領解》,
SRC0286,SRC0285,《覚円寺だより》,
SRC0287,SRC0286,信光寺寺报《濟波》,
SRC0288,SRC0287,《専徳寺報》,
SRC0289,SRC0288,《西福寺だより》,
SRC0290,SRC0289,廣間山眞願寺寺报《響》,
SRC0291,SRC0290,新潟・真宗寺寺报,
SRC0292,SRC0291,隆尭《称名念仏奇特現証集》,
SRC0293,SRC0292,华光会信仰杂志《華光》,
SRC0294,SRC0293,伊藤康善《療養と求道》,
SRC0295,SRC0294,伊藤康善《仏敵―求道物語》,
SRC0296,SRC0295,山崎隆弘「21世紀に生きる妙好人列伝」,
SRC0297,SRC0296,Thích Trí Tịnh「Truyện vãng sanh có chứng nghiệm」,
SRC0298,SRC0297,Nhóm Liên Hữu Miền Nam Đất Việt《Chuyện Vãng Sanh Ở Việt Nam》,
SRC0299,SRC0298,Cư sĩ Tịnh Hải《Những Chuyện Niệm Phật Vãng Sanh Lưu Xá Lợi》,
SRC0300,SRC0299,허응 보우《권념요록／勸念要錄》,
SRC0301,SRC0300,서길수《극락 간 사람들：한국 왕생전》,
SRC0302,SRC0301,《念佛感应录》系列,possible_duplicate_of:SRC0090（系列条目；T01 SRC0086–SRC0093 已按单集分别登记）
SRC0303,SRC0302,《念佛癒病（一）》,possible_duplicate_of:SRC0098
SRC0304,SRC0303,林看治《念佛感应见闻记》,possible_duplicate_of:SRC0075
SRC0305,SRC0304,林慈超《念佛感应记》,possible_duplicate_of:SRC0086
SRC0306,SRC0305,福建莆田广化寺佛经流通处《现代往生见闻录》一、二集,possible_duplicate_of:SRC0080
SRC0307,SRC0306,宽律法师《近代往生随闻录》,possible_duplicate_of:SRC0079
SRC0308,SRC0307,学谦居士《e世纪往生传》,possible_duplicate_of:SRC0082
SRC0309,SRC0308,学谦居士《新世代念佛往生录》,possible_duplicate_of:SRC0083
SRC0310,SRC0309,廖荣尉《妙音居士往生见闻记》,
SRC0311,SRC0310,台中慈明寺《慈明月刊》之“往生事迹连续刊载链”,
SRC0312,SRC0311,《蓮池海會—念佛往生見聞記》,possible_duplicate_of:SRC0084
SRC0313,SRC0312,《明倫月刊》“念佛往生／助念案例链”,possible_duplicate_of:SRC0078
SRC0314,SRC0313,《菩提樹》杂志,possible_duplicate_of:SRC0076
SRC0315,SRC0314,「佛教見聞錄」buddhist-experience.org.tw,
SRC0316,SRC0315,《佛菩薩探訪錄》,
SRC0317,SRC0316,《慈雲》杂志,
SRC0318,SRC0317,佛學多媒體資料庫 buda.idv.tw“往生見聞”影音保存层,
SRC0319,SRC0318,《염불보권문 / 念佛普勸文》,
SRC0320,SRC0319,《안양암지 / 安養庵誌》,
SRC0321,SRC0320,洪仁杓《연종집요 / 蓮宗集要》,
SRC0322,SRC0321,韩国语“나무아미타불”案例聚合生态,
SRC0005,SRC0322,Purelanders.com 现代 Pure Land testimonials / support-chanting 系列,M2 试点来源（见 M1_SOURCE_SHORTLIST_LOCKED.md，2026-09-16 锁定）；保留现行 repo 编号；注意 T01 SRC0334 疑似同站重复登记
SRC0323,SRC0323,《Vajra Bodhi Sea / 金剛菩提海》,
SRC0324,SRC0324,Muryoko / nembutsu.info — Speaking Personally,
SRC0325,SRC0325,Three Wheels News / Newsletter Archive,
SRC0326,SRC0326,Pure Land Life,
SRC0327,SRC0327,Wheel of Dharma,
SRC0328,SRC0328,BCA Connect — Sangha Voices,
SRC0329,SRC0329,Higashi Honganji USA — Lay Voices,
SRC0330,SRC0330,Living in Gratitude — 100 Years of Buddha Dharma in Canada,
SRC0331,SRC0331,Nenju News,
SRC0332,SRC0332,The Young Buddhist Editorial — Personal Reflections / Humans of Buddhism,
SRC0333,SRC0333,PureLandBuddhism.org,
SRC0334,SRC0334,Purelanders.com — Testimonies / PPF Testimonies,possible_duplicate_of:SRC0005
SRC0335,SRC0335,Buddhistische Gemeinschaft Jodo Shinshu Deutschland / BGJD,
SRC0336,SRC0336,Bouddhisme Jōdo Shinshū / jodoshinshu.fr,
SRC0337,SRC0337,Sangha Luso-Hispana Jinen-kō,
SRC0338,SRC0338,Revista Coração Confiante,
SRC0339,SRC0339,Bom Amigo / Comunicado Mensal do Templo,
SRC0340,SRC0340,Rainbow Sangha Brasil — Depoimentos,
SRC0341,SRC0341,George Gatenby — The Way of Jodo Shinshu / Notes on the Nembutsu,
SRC0342,SRC0342,Paths of Practice: Conversations on Journeys into Buddhism,
SRC0343,SRC0343,The Taste of the Nembutsu / HHMH Messages,
SRC0344,SRC0344,《藏汉平凡人往生极乐世界故事集·引路宝镜》,
SRC0345,SRC0345,Amitabha Path — True Accounts of Going to Pureland,
SRC0346,SRC0346,British Library EAP — Tibetan Delog manuscript corpus,
SRC0347,SRC0347,Delok Lingza Chökyi / Lingza Choskyit 写本传统,
SRC0348,SRC0348,Delok Karma Wangzin 写本传统,
SRC0349,SRC0349,Dawa Drolma — Delog: Journey to Realms Beyond Death,
SRC0350,SRC0350,"Tulku Thondup — Peaceful Death, Joyful Rebirth",
SRC0351,SRC0351,Lotsawa House — Delog / Sukhāvatī corpus,
SRC0352,SRC0352,Treasury of Lives — Delok biographies,
SRC0353,SRC0353,BDRC / BUDA,
SRC0354,SRC0354,Geshe Jampa Tinley — 《К Ясному Свету》,
SRC0355,SRC0355,Geshe Jampa Tinley — 《Смерть. Жизнь после смерти. Пхова》,
SRC0356,SRC0356,Журнал «Дже Цонкапа»,
SRC0357,SRC0357,Журнал «Буддизм России»,
SRC0358,SRC0358,Kalmyk Scientific Center RAS — Oirat Sukhāvatī manuscript corpus,
SRC0359,SRC0359,Kathmandu Hongwanji,
SRC0360,SRC0360,Buddhist Study Center / HHMH — Sonam Wangdi Bhutia 2017 Summer Session,
SRC0361,SRC0361,Todd T. Lewis — “Sukhāvatī Traditions in Newar Buddhism” (1996),
SRC0362,SRC0362,British Library EAP1296 — Newar Sukhāvatī manuscript corpus,
SRC0363,SRC0363,"Digital Sanskrit Buddhist Canon / Nagarjuna Institute, Nepal",
SRC0364,SRC0364,SAMHiTA — South Asian Manuscript Histories and Textual Archive,
SRC0365,SRC0365,"Dewachen Lhakang, Namo Buddha Monastery",
SRC0366,SRC0366,Buddhistdoor en Español,
SRC0367,SRC0367,"Furaibo Nembutsu Dojo, Buenos Aires",
SRC0368,SRC0368,LA NACION — Gustavo Aoki direct interview/profile corpus,
SRC0369,SRC0369,"Lisette Morales Aldana — Conversión, identidad y compromiso en dos grupos budistas japoneses en la ciudad de México (2002)",
SRC0370,SRC0370,Catón E. Carini — “Southern Dharma: Outlines of Buddhism in Argentina”,
SRC0371,SRC0371,Tierra Pura de la Luz Serena / budismojapones.com,
SRC0372,SRC0372,Budismo Tierra Pura para Todos,
SRC0373,SRC0373,Budismo de La Tierra Pura Online / budismolatinoamerica.com,
SRC0374,SRC0374,Amidaji International Temple — Spiritual Biographies of Amidaji Members,
SRC0375,SRC0375,Amida-shu / Community of Amida Buddhists archive,
SRC0376,SRC0376,South America Hongwanji Federation / official web corpus,
SRC0377,SRC0377,British Library EAP813 — Disappearing book heritage of Siberian Buddhists,
SRC0378,SRC0378,Zsuzsa Majer (2018) — Preliminary Notes on Tibetan After-Death Rites and their Texts in Mongolian Buddhist Practice,
SRC0379,SRC0379,Zsuzsa Majer (2018) — Lagwī molom…helping them to a better one in Sukhāvatī,
SRC0380,SRC0380,"Karénina Kollmar-Paulenz (2025) — A Catalogue of the Mongolian Manuscripts and Xylographs of the Ernst-Collection, Sukhāvatī entries 120–124",
SRC0381,SRC0381,Tümer Karaayak (2021) — Eski Uygurca Abitaki Metinlerinin Söz Varlığı,
SRC0382,SRC0382,Jōdo-shū — Hōnen: A Collection of Buddhist Sermons by Jodo Shu Priests from around the World,
SRC0383,SRC0383,Amitabha Hospice Service / Peaceful Passing NZ source family,
SRC0384,SRC0384,Pure Land of Amitabha Buddha Hospice / Pure Land Home Hospice South Australia,
SRC0385,SRC0385,Amitofo Care Centre Africa — periodical / annual-report corpus,
