source_id,source_name,region,tradition_or_context,source_type,current_role,cp_at_registration,cp_current,ap,date_or_range,key_note,registry_status
SRC0264,顺正寺寺报《遊煩悩林》,日本,真宗大谷派／东京・练马,地方寺报,DISCOVERY,CP2,,AP1,至少2018－现在,定期寺报；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0265,道善寺だより,日本,真宗大谷派／富山・五箇山,地方寺报,DISCOVERY,CP2,,AP2,创刊年Unknown；2022年第23号,赤尾道宗相关寺院；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0266,愿成寺寺报《大心海》,日本,真宗大谷派／名古屋教区第30组,地方寺报,DISCOVERY,CP3,,AP3,至少2019-01,连续性未确认；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0267,一心寺寺报《夢と望》,日本,真宗大谷派／名古屋教区第30组,地方寺报,DISCOVERY,CP3,,AP4,至少2017-05,在线样本有限；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0268,常念寺寺报《おあしす》,日本,真宗大谷派／名古屋教区第30组,地方寺报,DISCOVERY,CP3,,AP4,至少2007-02,数字残片型；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0269,法光寺寺报《煩悩林》,日本,真宗大谷派／名古屋教区第30组,地方寺报,DISCOVERY,CP3,,AP4,至少2005-11,纸本原源存在；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0270,真宗大谷派名古屋教区第30组「寺報を読む」,日本,真宗大谷派／爱知,寺报聚合/数字保存入口,INFRASTRUCTURE / DISCOVERY,CP2,,AP1,网站至少2011－,聚合源，不是各寺报首发；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0271,専教寺寺报,日本,地方净土真宗寺院,地方寺报,DISCOVERY,CP1,CP3,AP1,2026新年号第84号,已确认前住职住院、死亡、密葬、往生等第一人称记录,REGISTERED
SRC0272,真宗大谷派浄影寺《法蔵》,日本,真宗大谷派,地方寺报,DISCOVERY,CP1,CP3,AP2,至少2006－约2018,保存住职对已故门徒及念佛生活的直接回忆,REGISTERED
SRC0273,浄心寺・草加松原開教所《もとみち》,日本,净土真宗系,地方寺报,DISCOVERY,CP3,,AP2,创刊时间未充分确认,有独立寺报栏目；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0274,教覚寺寺报,日本,净土真宗系,地方寺报,DISCOVERY,CP2,,AP3,2023－现在,年刊；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0275,妙蓮寺寺报《流水》,日本,净土真宗系,地方寺报,DISCOVERY,CP2,,AP3,2026年第100号,跨两代住职；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0276,静蓮寺・正定寺共同寺报《和顔愛語》,日本,姊妹寺院共同刊,地方寺报,DISCOVERY,CP2,,AP1,2020-09创刊；2026年第23号,两寺共同一刊，不重复建Source；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0277,浄土宗摂取山念佛寺寺报《摂取》,日本,浄土宗,地方寺报,DISCOVERY,CP1,,AP1,至少2016－现在；2026年第80/81号,含极乐净土、念佛等主题；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0278,光源寺《光源寺新報》,日本,净土真宗系,地方寺报,DISCOVERY,CP1,,AP4,1961创刊；2016年第100号,长期纸本链，但案例并非主体；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0279,天真寺《月刊天真》,日本,净土真宗系,月刊寺报,DISCOVERY,CP1,,AP1,2013年第439号；持续至2026,超长连续刊；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0280,浄土宗大雲寺《寿光》,日本,浄土宗,地方寺报,DISCOVERY,CP2,,AP3,2025年第50号,地方浄土宗出版源；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0281,石狩・髙陵山光明寺《光明寺寺報》,日本,净土真宗系／北海道,地方寺报,DISCOVERY,CP1,,AP2,2016-03创刊,曾讨论临终念佛、门徒葬仪、往生成仏；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0282,法雲寺《ともしび → ともしび2》,日本,净土真宗系,地方寺报,DISCOVERY,CP1,,AP1,1981-06《ともしび》创刊；2014改版,同一寺报连续出版链；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0283,浄覚寺寺报《じゅこう》,日本,净土真宗系,地方寺报,DISCOVERY,CP2,,AP1,2019-05-01创刊；2026年第88号,月刊、数字档案规整；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0284,本愿寺派那珂组门徒推进员广报《領解》,日本,本愿寺派／那珂组,门徒广报,DISCOVERY,CP1,CP3,AP1,2022创刊；至少至2025年第4号,由门徒推进员主体编辑，具第一人称信仰经验潜力,REGISTERED
SRC0285,《覚円寺だより》,日本,净土真宗系,地方寺报,DISCOVERY,CP1,,AP2,2017-11创刊,纸本旧号→2025起note回填；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0286,信光寺寺报《濟波》,日本,净土真宗系,地方寺报,DISCOVERY,CP1,,AP4,1983-01创刊；2009年第126号,门徒妇人参与编辑；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0287,《専徳寺報》,日本,净土真宗系,地方寺报,DISCOVERY,CP1,,AP3,1957创刊,近70年连续地方寺报链；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0288,《西福寺だより》,日本,净土真宗系,地方寺报,DISCOVERY,CP1,,AP4,1977创刊,长期纸本刊物；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0289,廣間山眞願寺寺报《響》,日本,净土真宗系,地方寺报,DISCOVERY,CP1,CP3,AP1,1997-03创刊；2021年第50号,已确认死别、看取、念佛、净土再会等直接生命经验,REGISTERED
SRC0290,新潟・真宗寺寺报,日本,净土真宗系／新潟,地方寺报,DISCOVERY,CP2,,AP3,至少2013创刊号后有多号,网络档案残缺；最终CP待逐条冻结（批量降为CP4–CP5范围）,REGISTERED
SRC0291,隆尭《称名念仏奇特現証集》,日本,中世净土教,念佛奇特/灵验案例集,CORE,CP1,CP1,AP3,1420–1431成立；21话,作者近江周边见闻，含念佛奇特、灵梦、病者临终正念等,REGISTERED
SRC0292,华光会信仰杂志《華光》,日本,真宗／华光会,信仰体验杂志,CORE,CP1,CP1,AP3,1941-11-15创刊－现在,长期刊载信仰体験記、感想集、临终/求道手记,REGISTERED
SRC0293,伊藤康善《療養と求道》,日本,真宗／华光会系,疗养/求道病例与体验集,CORE,CP1,CP1,AP4,约1942,结核疗养所病床说法、求道、回心具体病例/体验,REGISTERED
SRC0294,伊藤康善《仏敵―求道物語》,日本,真宗,个人求道体验记录,CORE,CP2,CP2,AP4,原版至少1938；2003复刻,个人求道/信心获得体验，规模小但原创性强,REGISTERED
SRC0295,山崎隆弘「21世紀に生きる妙好人列伝」,日本,现代真宗,现代妙好人连续列传,CORE,CP1,CP1,AP1,2015–2024约120回,现代妙好人、信仰体验、疾病与临终见闻；首发载体仍待精确确认,REGISTERED
SRC0296,Thích Trí Tịnh「Truyện vãng sanh có chứng nghiệm」,越南,越南净土佛教,越南本土往生实证个案集,CORE,CP1,CP1,,earliest known print至少1957；后收入2006《Hương Sen Vạn Đức》,作者刻意记录越南本土亲知往生案例,REGISTERED
SRC0297,Nhóm Liên Hữu Miền Nam Đất Việt《Chuyện Vãng Sanh Ở Việt Nam》,越南,越南净土佛教,现代往生案例集,CORE,CP1,CP1,,2008已有Part1录音；2014修订书面汇编,从书、录音及亲赴往生者家庭采访搜集；大型现代越南案例集,REGISTERED
SRC0298,Cư sĩ Tịnh Hải《Những Chuyện Niệm Phật Vãng Sanh Lưu Xá Lợi》,越南／海外越南,越南语净土圈,念佛往生/舍利案例集,CORE,CP1,CP1,,2000美国出版；主要搜集1995–2000案例,作者联系家属、寺院取得材料与照片；后大量转载,REGISTERED
SRC0299,허응 보우《권념요록／勸念要錄》,韩国,朝鲜时代净土佛教,往生灵验谈编纂,CORE / DISCOVERY,CP1,CP1,,现存1637刊本；11篇往生灵验谈,约10篇可追中国源；需分离韩国编纂传播与CASE原产地,REGISTERED
SRC0300,서길수《극락 간 사람들：한국 왕생전》,韩国,韩国净土研究,韩国往生二手汇编/索引,CORE / DISCOVERY,CP1,CP1,,2022；100名人物,14年研究汇集100名韩国往生人物；CASE阶段逐案追earliest source,REGISTERED
SRC0301,《念佛感应录》系列,中文世界／台湾,中华净土宗协会／净土宗文教基金会,现代念佛感应系列案例集,CORE,CP1,CP1,,第1集2006初版；至少至第8集2026,连续收录现世感应、治病、免难、梦感、念佛/助念/超度往生等,REGISTERED
SRC0302,《念佛癒病（一）》,中文世界／台湾,净土宗编辑部,念佛治病案例集,CORE,CP1,CP1,,现代出版；约108则,按疾病分类收念佛治病/起死回生案例；与《念佛感应录》有重叠,REGISTERED
SRC0303,林看治《念佛感应见闻记》,中文世界／台湾,台湾净土信仰圈,亲见亲闻感应案例集,CORE,CP1,CP1,,1967-02-08《菩提樹》第171期起连载；1969-07完结；1969-08单行本,记录十余年亲见亲闻，70余则，含治病、免难、临终、往生瑞相,REGISTERED
SRC0304,林慈超《念佛感应记》,中文世界／台湾,台湾净土信仰圈,念佛感应/往生案例集,CORE,CP2,CP2,,1998台湾初版,含个人感应、念佛灵异及往生四众资料,REGISTERED
SRC0305,福建莆田广化寺佛经流通处《现代往生见闻录》一、二集,中文世界／中国大陆,莆田广化寺,现代往生大型案例集,CORE,CP1,CP1,,1990年代前后；两集初版先后年份待核版权页,一集约138位、二集约100位现代四众往生资料,REGISTERED
SRC0306,宽律法师《近代往生随闻录》,中文世界,近现代净土佛教,近代往生案例集,CORE,CP1,CP1,,约1987,收集八年、100余名近代往生实例,REGISTERED
SRC0307,学谦居士《e世纪往生传》,中文世界／台湾,台南市净宗学会体系,现代海内外往生案例集,CORE,CP1,CP1,,约2002年底编印,约25篇现代海内外往生实例，多为家属/同修目击,REGISTERED
SRC0308,学谦居士《新世代念佛往生录》,中文世界／台湾,台南市净宗学会体系,现代往生案例集,CORE,CP1,CP1,,2004,《e世纪往生传》姊妹书，十余篇较新案例，多由各地净宗学会供稿,REGISTERED
SRC0309,廖荣尉《妙音居士往生见闻记》,中文世界／台湾,现代净土信仰圈,单一深描往生案例,CORE,CP2,CP2,,约1993,记录其父念佛、病床助念、断气后助念、舍利等,REGISTERED
SRC0310,台中慈明寺《慈明月刊》之“往生事迹连续刊载链”,中文世界／台湾,台中慈明寺,杂志连续往生栏目,DISCOVERY（栏目为CORE-level）,CP2,CP2,,《慈明》1964创刊；往生连续刊载具体卷期待锁定,曾连续三年刊载127人往生事迹，后合辑成书,REGISTERED
SRC0311,《蓮池海會—念佛往生見聞記》,中文世界／台湾,台中莲社,助念亲历/往生见闻案例集,CORE,CP1,CP1,AP2,原始录影/VCD→文字整理/书→约2003数字化,黄德川长期参与助念，据亲见亲闻录影后转写,REGISTERED
SRC0312,《明倫月刊》“念佛往生／助念案例链”,中文世界／台湾,台中莲社,综合月刊中的案例链,DISCOVERY,CP2,CP2,AP2,长期刊载；具体期号可追,有多例念佛往生、助念后身体柔软等个案,REGISTERED
SRC0313,《菩提樹》杂志,中文世界／台湾,台湾佛教期刊,综合佛教杂志/上游首发载体,DISCOVERY,CP2,CP2,AP3,1967-02-08起刊载SRC0303；1969-07-08完结,SRC0303《念佛感应见闻记》的更早首发载体,REGISTERED
SRC0314,「佛教見聞錄」buddhist-experience.org.tw,中文世界／台湾,中文网络佛教经验站,案例聚合/发现站,CORE-aggregator / DISCOVERY,CP2,CP2,AP1,现代网络来源,按阿弥陀佛、临终助念等类别汇集案例；原创与转载混合,REGISTERED
SRC0315,《佛菩薩探訪錄》,中文世界／台湾,慈雲雜誌社,佛菩萨感应今人今事案例集,CORE,CP2,CP2,AP2,现代出版,分险难、消灾、愈病、往生、综合感应等,REGISTERED
SRC0316,《慈雲》杂志,中文世界／台湾,慈雲雜誌社,综合佛教杂志/上游首发载体,DISCOVERY,CP2,CP2,AP3,1976-07-30创刊、月刊,SRC0315上游首发载体之一,REGISTERED
SRC0317,佛學多媒體資料庫 buda.idv.tw“往生見聞”影音保存层,中文世界／台湾,佛学多媒体资料库,旧影音保存/发现基础设施,INFRASTRUCTURE / DISCOVERY,CP3,CP3,AP1,保存约1999–2006等早期RealMedia/WMV,保存李秀芬、李庆和、陈俊彦、魏国兴、王松山、苏进才、妙音居士等旧影音链,REGISTERED
SRC0318,《염불보권문 / 念佛普勸文》,韩国,韩国净土佛教,念佛劝文/往生故事编纂,CORE / DISCOVERY,CP2,CP2,AP3,现知1704龙门寺本；后有1741/1764/1765/1776等刊本,含往生故事与念佛实践；多继承中国叙事，需分离传播与原产地,REGISTERED
SRC0319,《안양암지 / 安養庵誌》,韩国,安养庵,寺志中的灵验/往生上游案例源,CORE,CP1,CP1,AP4,安震湖编，1958，约142页,含“当寺灵验实记”等；韩国往生传中日治时期安养庵7案上游来源,REGISTERED
SRC0320,洪仁杓《연종집요 / 蓮宗集要》,韩国,韩国净土佛教,综合净土著作中的往生例,DISCOVERY,CP3,CP3,AP2,现代资料称1960初刊；确切初版待实物核,含“往生的例／念佛而往生的例”，但本土原创密度有限,REGISTERED
SRC0321,韩国语“나무아미타불”案例聚合生态,韩国,慧蓮；Tistory/旧Daum等,韩国语案例聚合生态,CORE-aggregator / DISCOVERY,CP2,CP2,AP1,现站约1436篇；含约104篇极乐往生案例、134篇念佛感应录,大量转载/翻译但常保存上游线索；同一内容生态不因域名迁移重复编号,REGISTERED
SRC0322,Purelanders.com 现代 Pure Land testimonials / support-chanting 系列,新加坡／英语世界,沈时安／净行会体系,现代英文往生/助念见证系列,CORE case channel / DISCOVERY site,CP1,CP1,AP1,至少2011前后持续；现代testimonial编号已至[123]以上,不少由家属/参与者直接撰写，涉及医院、安宁疗护、临终助念与遗体瑞相,REGISTERED
SRC0323,《Vajra Bodhi Sea / 金剛菩提海》,美国／海外华人英语生态,法界佛教总会／万佛圣城,中英双语综合佛教月刊,DISCOVERY,CP3,CP3,AP1,1970-04创刊；1992起中英对照,跨数十年反复刊载美国/海外华人第一人称临终、念佛、往生、感应记录,REGISTERED
